,Smiles,Standard Value
3128,Cn1c(-c2ccccc2)nc2c(NC3CCCC3)ncnc21,8510
1163,CONc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,8500
134,CCCCC[C@H](O)C#Cc1nc(NCC)c2ncn([C@@H]3O[C@H](C(=O)NCC)[C@@H](O)[C@H]3O)c2n1,8473
705,CNC(=O)OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@](C)(O)[C@@H]1O,8350
1483,CCCn1c(-c2ccco2)nc2c(N)nc(NCCCc3ccccc3)nc21,8240
516,Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O,8200
2707,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,8200
214,CCn1cnc2c(NCCc3ccccc3)ncnc21,8130
2607,CN(C)c1nc(N)nc(-c2sc(NC(=O)c3ccco3)nc2-c2ccccc2)n1,8000
3048,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)C4CCCC4)nc32)[C@H](O)[C@@H]1O,7920
77,Cn1c(=O)c2[nH]cnc2n(C)c1=O,7850
2713,Cn1c(-c2ccccc2)nc2c(N)ncnc21,7790
1706,CCCCCC(C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,7660
561,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)c4ccccc4[N+](=O)[O-])nc32)[C@H](O)[C@@H]1O,7620
55,CCCCCCn1c(=O)c2nc[nH]c2n(CCCCCC)c1=O,7580
1742,Cc1nn(Cc2ccccc2)c(=O)c2ncn3nc(-c4ccccc4)cc3c12,7560
291,Cn1cc2c(nc(NCCOc3ccccc3)n3nc(-c4ccco4)nc23)n1,7500
1248,CCCn1c(Br)nc2c(NCc3ccccc3)ncnc21,7490
1704,Cn1cc2c(nc(NCCO)n3nc(-c4ccco4)nc23)n1,7470
2520,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,7324
2103,Cn1c(=O)c2c(nc3n2CCCN3CCc2ccc(O)cc2)n(C)c1=O,7200
1981,CCOC(=O)c1cnc(NCC(C)C)n2nc(-c3ccco3)nc12,7150
2036,Nc1ncnc2c1nc(Br)n2CC(O)CO,7100
3113,O[C@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,7072
2020,Cn1c(=O)c2[nH]cnc2n(C)c1=O,7059
2381,Cn1c(=O)c2nc(-c3ccc([N+](=O)[O-])cc3)[nH]c2n(C)c1=O,6940
1753,Cc1c(S(C)(=O)=O)c(=O)[nH]c2ccc(OCC(=O)NCc3ccc(Cl)c(Cl)c3)cc12,6670
147,CCCCc1nc2[nH]cnc2c2nc(-c3ccc(N(C)C)cc3)nn12,6660
2893,CC1=C(C(=O)OCc2ccccc2)C(c2ccoc2)NC(=O)N1,6650
1570,Cn1cc2c(nc(NC3CCCCCC3)n3nc(-c4ccco4)nc23)n1,6590
3082,CCOC(=O)C1=C(C)N(C)C(=O)NC1c1ccco1,6544
3101,CCOC(=O)C1=C(C)N(C)C(=O)NC1c1ccco1,6544
1837,CCCn1c(=O)c2nc(-c3ccc(Cl)cc3OC)[nH]c2n(CCC)c1=O,6530
2010,CCCn1c(=O)[nH]c(=O)c2nc[nH]c21,6400
743,COc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1OC,6390
293,Cn1cc2c(nc(NC3CCCCC3)n3nc(-c4ccco4)nc23)n1,6320
2666,CCCn1c(Br)nc2c(N)nc(NCCCc3ccccc3)nc21,6300
2277,Cn1c(-c2ccco2)nc2c(NC(=O)Nc3ccccc3)ncnc21,6250
601,CCOC(=O)C1=C(C)N=C(S)NC1c1cccs1,6247
1020,CC(C)CCn1c(=O)c2nc[nH]c2n(CC(C)C)c1=O,6240
1348,CCOC(=O)c1cnc(NNc2ccccc2)n2nc(-c3ccco3)nc12,6060
744,Cc1cccc(-c2nc3c(NC4CCCC4)ncnc3n2C)c1,6030
2155,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)c4ccc(I)cc4)cc3)[nH]c2n(CCC)c1=O,5888.44
2,Nc1nc(C(=O)NCc2cccnc2)cc(-c2ccco2)n1,5875
562,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccccc5Cl)n4)cc3)[nH]c2n(CCC)c1=O,5830
425,COc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1O,5820
2201,CCn1c(-c2ccccc2)nc2c(NC3CCCC3)ncnc21,5790
1604,Cn1c(=O)c2c(ncn2CCCCl)n(C)c1=O,5620
139,CCCCn1c(Br)nc2c(N)ncnc21,5600
1830,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC4(O)CCCCC4)nc32)[C@H](O)[C@@H]1O,5533
1353,Cn1c(=O)c2nc(-c3cccc(C(=O)O)c3)[nH]c2n(C)c1=O,5530
1974,Nc1ncc(C(=O)NCCc2ccccc2)c2nc(-c3ccco3)nn12,5320
3056,CCCn1c(-c2ccccc2)nc2c(NC3CCCCC3)ncnc21,5310
1705,C[C@H](Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12)c1ccccc1,5290
2501,C[C@H](Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12)c1ccccc1,5290
2293,CC(CCc1ccccc1)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,5260
174,Cc1c(S(C)(=O)=O)c(=O)[nH]c2ccc(OCC(=O)NCc3ccc(Cl)c(Cl)c3)cc12,5251
1117,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,5180
1658,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccc(Cl)cc5)no4)cc3)[nH]c2n(CCC)c1=O,5170
2372,CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCC(F)(F)F)c2c1)c1ccccc1,5155
757,Nc1ncnc2c1nc(Br)n2CCCO,5100
2468,Nc1ncnc2c1nc(Br)n2CCCO,5100
392,Cn1c(-c2ccco2)nc2c(NC(=O)Cc3ccc(OCc4ccccc4)cc3)ncnc21,5070
1167,OC[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,5010
