,Smiles,Standard Value
1156,O=C(CCCc1ccccc1)Nc1nc2ccsc2c(=O)s1,547
1536,CCCn1c(=O)c2[nH]c(-c3cc(OCC4CC(=O)N(c5ccc(C(F)(F)F)cc5)C4)no3)nc2n(CCC)c1=O,540
1659,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccc(C)cc5)no4)cc3)[nH]c2n(CCC)c1=O,526
1514,CCCn1c(=O)c2[nH]c(-c3cccc(OS(=O)(=O)F)c3)nc2n(CCC)c1=O,524.81
3107,CCOC(=O)C1=C(C(F)(F)F)NC(=O)NC1c1ccoc1,521
940,Cn1c(=O)[nH]c2cc(-c3ccccc3)[nH]c2c1=O,520
1978,Cn1c(-n2nccn2)nc2c(N)nccc21,518
1255,CC1=C(C(=O)OC(C)C)C(c2cc[nH]c2)n2c(nc3ccccc32)N1,517.1
2549,CCCn1c(=O)c2c(nc(-c3ccc(N)cc3)n2C)n(CCC)c1=O,516
1271,Cc1ccc(-c2[nH]c3c(=O)n(C)c(=O)n(C)c3c2O)cc1,513
3178,Nc1nc(-c2ccco2)c2cnn(Cc3cccc(OCCCCCCC(=O)NO)c3)c2n1,513
426,C#CCn1c(=O)c2[nH]cnc2n(C)c1=O,511
2373,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cnco1,508
1885,CCCn1c(=O)c2[nH]c(-c3cnn(-c4ccc[n+]([O-])c4)c3)nc2n(CC)c1=O,506
2182,CCCn1c(=O)c2nc([C@]34CC[C@](C(=O)NCCC(=O)OC)(CC3)CC4)[nH]c2n(CCC)c1=O,505
177,CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3ccccn3)c(CCc3ccccc3)c2c1)c1ccccc1,504
1037,O=C(CCc1ccccc1)Nc1nc2ccccc2n2nc(-c3ccco3)nc12,501.19
643,CCCn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4ccsc4)cc3)cc2n(CCC)c1=O,501
2203,COc1ccc(N2CCOCC2)c2sc(NC(=O)C3(C)CCC(C)(O)CC3)nc12,500
2997,CCN(CC)C1CCC(C)(C(=O)Nc2nc3c(OC)ccc(N4CCOCC4)c3s2)CC1,500
1393,COc1cccc(-c2cc(NC(C)=O)nc(-c3cccc(OC)c3OC)n2)c1OC,493.7
3279,Cn1cc(-c2cnc(N)n3nc(-c4ccco4)nc23)ccc1=O,491
471,CCCn1c(=O)c2[nH]c(-c3ccc(OC)cc3)cc2n(CCC)c1=O,490
2690,CCSCCn1c(=O)c2[nH]c(-c3ccco3)nc2n(CCCOC)c1=O,489.78
1945,C[C@@H](NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)c1ccccc1,486
1736,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccc(C(F)(F)F)cc5)no4)cc3)[nH]c2n(CCC)c1=O,485
1417,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccs1,484.6
1715,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccs1,484.6
2574,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccs1,484.6
1538,CCCn1c(=O)c2c(cc(-c3ccc(OC)cc3)n2O)n(CCC)c1=O,479
2215,CCSCCn1c(=O)n(CC)c(=O)c2[nH]c(-c3ccccc3)nc21,478.63
2639,COc1cc(OCC(=O)N2CCN(c3ccc(Cl)cc3)CC2)ccc1-c1cc2c([nH]1)c(=O)n(C)c(=O)n2C,478.63
3280,CNc1nc(-c2ccccc2)c(C#N)c(-c2ccc(C)cc2)n1,474
395,Nc1ncnc2c1nc(-c1ccco1)n2CCO,470
423,O=C(O)/C=C/c1ccc(-c2nc3c(=O)n(Cc4ccccc4)c(=O)n(Cc4ccccc4)c3[nH]2)cc1,469
1210,CCOC(=O)C1=C(C)N/C(=N\C#N)NC1c1ccsc1,461
1738,C=CCn1c(=O)[nH]c2[nH]cnc2c1=O,461
1501,COCc1cccc(CNC(=O)c2cc(-c3ccco3)nc(N)n2)n1,460
1698,COCc1cccc(CNC(=O)c2cc(-c3ccco3)nc(N)n2)n1,460
2127,Cc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,457
2524,CCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCCCN3CCCC3)cc2)n(CCC)c1=O,452
2566,CC(C)(C)n1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,450
428,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cc[nH]c1,449.3
3,Nc1cccc(CNC(=O)c2cc(-c3ccco3)nc(N)n2)n1,444
2485,CC(=O)Nc1ccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)cc1,443
585,Cc1ccc(-c2cc(-c3ccco3)nc(N)c2C#N)o1,440
2914,Nc1nc(-c2ccco2)c2nnn(Cc3ccc([N+](=O)[O-])cc3)c2n1,440
3221,Cc1cccnc1CNC(=O)c1cnc(-c2ccco2)nc1N,440
1657,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccccc5C)n4)cc3)[nH]c2n(CCC)c1=O,438
944,CCCn1c(=O)c2nc(C34CCC(O)(CC3)CC4)[nH]c2n(CCC)c1=O,430
2101,COCCCNc1nc2ccccc2n2nc(-c3ccco3)nc12,426.58
1565,CC1=C(C(=O)OCC2CC2)C(c2ccoc2)NC(=O)N1,426
488,Nc1nc(-c2cncs2)c2nnn(Cc3ccccc3F)c2n1,423
768,CCCCn1c(=O)[nH]c2[nH]cnc2c1=O,421
523,CC1=C(C(=O)OC(C)C)C(c2ccsc2)NC(=S)N1,415.7
1819,Cn1c(=O)c2nc(-c3ccccc3)[nH]c2n(C)c1=O,415
2568,Cn1c(=O)c2nc(-c3ccccc3)[nH]c2n(C)c1=O,415
2724,CCCn1c(=O)c2nc(-c3cnn(Cc4ccc(OC)c(C(F)(F)F)c4)c3)[nH]c2n(CCC)c1=O,410
370,O=c1[nH]c2[nH]cnc2c(=O)n1CCc1ccccc1,408
882,N#Cc1c(CCc2ccccc2)c2cc(OCC(=O)NCc3ccc(Cl)c(Cl)c3)ccc2[nH]c1=O,408
2633,Cc1ccc2nc(NC(=O)CCCc3ccccc3)sc(=O)c2c1,408
883,O=C(COc1ccc2[nH]c(=O)c(-c3ccco3)c(CCc3ccccc3)c2c1)NCc1ccccc1,407
1508,CC1=C(C(=O)OC2CCC2)C(c2ccsc2)NC(=O)N1,405
480,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ncc[nH]1,402
1696,Cc1cccc(CNC(=O)c2cc(-c3ccco3)nc(N)n2)c1,402
2079,CC(C)(C)n1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,400
1682,CC(C)c1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N,397
1084,COc1ccc(-c2nc3c(=O)n(C)c(=O)n(C)c3[nH]2)cc1,394
1849,COc1ccc(-c2nc3c(=O)n(C)c(=O)n(C)c3[nH]2)cc1,394
165,CCOC(=O)Nc1nc(-c2ccccc2)c(C(=O)c2ccccc2)s1,391
2711,CCCn1c(=O)c2nc(-c3cnn(Cc4c(F)cccc4F)c3)[nH]c2n(CCC)c1=O,390
2221,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1nccs1,388
2492,N#Cc1c(-c2cccc(Cl)c2)nc(N)nc1-c1ccc2c(c1)OCO2,386
1364,Nc1nc(-c2ccco2)c2nnn(Cc3ccccc3[N+](=O)[O-])c2n1,383
328,O=C(Nc1ccc(-c2ccncc2)c(Cl)n1)C1CC1,380
1700,N#Cc1c(-c2ccco2)cc(-c2cccs2)nc1N,380
2340,CC(=O)Nc1ncc(-c2ccncn2)c(-c2ccco2)n1,380
2965,CCn1c(-c2ccco2)nc2c(N)ncnc21,375
1924,CCC(=O)Nc1nc(-c2ccc(SC)cc2)cc(-c2ccc(SC)cc2)n1,374
1739,CCCn1c(=O)[nH]c2[nH]c(-c3ccc(OCC(=O)O)cc3)nc2c1=O,372
555,CCOC(=O)COc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3CCCOC)cc1,371.54
2193,CCn1c(=O)c2c(nc(Cc3cccs3)n2C)n(Cc2ccccc2)c1=O,371.54
2768,N#Cc1c(-c2ccccc2)cc(SCc2ncc[nH]2)nc1N,371.54
427,CC1=C(C(=O)OC(C)C)C(c2cccs2)n2c(nc3ccccc32)N1,371.2
462,CC1=C(C(=O)OC(C)C)C(c2cccs2)n2c(nc3ccccc32)N1,371.2
1113,CC1=C(C(=O)OC(C)C)C(c2cccs2)n2c(nc3ccccc32)N1,371.2
2734,N#Cc1c(-c2ccc(O)cc2)cc(-c2ccco2)nc1N,370
826,O=C(CCc1ccccc1)Nc1nc2ccccc2c(=O)s1,365
1997,O=C(CCCc1ccccc1)Nc1nc2sccc2c(=O)s1,361
1896,CCCn1c(=O)[nH]c2[nH]cnc2c1=O,360
2121,CCCn1c(=O)c2nc(-c3cnn(Cc4cc(C(F)(F)F)cc(Cl)c4F)c3)[nH]c2n(CCC)c1=O,360
3296,CNc1nc(-c2ccccc2)c(C#N)c(-c2cccc(F)c2)n1,358
2758,CCCCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,352.3
1533,CCCCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,352
2417,Cn1c(=O)c(S(C)(=O)=O)c(CCc2ccccc2)c2cc(OCC(=O)NCc3ccccc3)ccc21,352
2041,CC1=C(C(=O)OC(C)C)C(c2ccoc2)n2ncnc2N1,350.5
86,CCCn1c(=O)c2nc(-c3cnn(Cc4cc(C(F)(F)F)cc(C(F)(F)F)c4)c3)[nH]c2n(CCC)c1=O,350
367,COc1ccc(NC(=O)Nc2nc3n[nH]cc3c3nc(-c4ccco4)nn23)cc1,350
394,Nc1ncnc2c1nc(-c1ccco1)n2CCCO,350
3294,Nc1ccccc1NC(=O)c1ccc(CCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,349.8
1388,CC1=C(C(=O)OC(C)C)C(c2cccs2)N/C(=N/C#N)N1,349.1
2292,CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4ccc(O)c(OC)c4)nn3C)[nH]c2n(CCC)c1=O,342
479,CC1=C(C(=O)OC(C)C)C(c2cn[nH]c2)n2c(nc3ccccc32)N1,340
3078,CCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCCCN(CC)CC)cc2)n(CCC)c1=O,340
980,CCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCCN(CC)CC)cc2)n(CCC)c1=O,338
1008,CCCn1c(=O)c2[nH]c(-c3ccc(C(=O)O)cc3)c(O)c2n(CCC)c1=O,338
1752,N#Cc1c(CCc2ccccc2)c2cc(OCC(=O)NCc3ccc(Cl)c(Cl)c3)ccc2[nH]c1=O,338
630,O=C(c1ccccc1)c1sc(Nc2ccccc2)nc1-c1ccccc1,337
1334,CCCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCCN3CCOCC3)cc2)n(CCCC)c1=O,337
710,CCCn1c(=O)c2[nH]c(-c3cnn(Cc4noc(-c5ccc(Cl)cc5)n4)c3)nc2n(CC)c1=O,335
2835,Nc1nc(-c2ccc(OCCCN3CCCCC3)cc2)c2c(n1)-c1ccccc1C2=O,331
989,CCCn1c(=O)c2[nH]c(-c3cnn(CC#CCN4CCOCC4)c3)nc2n(CCC)c1=O,330
1932,O=C(COc1ccc2[nH]c(=O)c(-c3ccco3)c(CCc3ccccc3)c2c1)NCc1ccccc1,330
2881,CC1=C(C(=O)OCC(C)C)C(c2ccoc2)NC(=O)N1,326
1600,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccccc5C(F)(F)F)no4)cc3)[nH]c2n(CCC)c1=O,325
337,CCCn1c(=O)c2[nH]c(-c3ccccc3)nc2n(CCCOC)c1=O,323.59
176,C[C@@H](NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)c1ccccc1,320
424,COc1cccc2cc(C(N)=O)c(=N)oc12,316.23
1328,Cn1c(=O)c2[nH]c(Cc3ccco3)nc2n(Cc2ccco2)c1=O,316.23
1858,CS(=O)(=O)c1c(CCc2ccccc2)c2cc(OCC(=O)NCc3ccc(Cl)c(Cl)c3)ccc2[nH]c1=O,315
3071,CC1=C(C(=O)OC(C)C)C(c2ccsc2)NC(=S)N1,315
1011,C=CCn1c(=O)c2c(nc(-c3ccccc3)n2CCCl)n(C)c1=O,311
56,CCCn1c(=O)c2nc(-c3c(F)cccc3F)[nH]c2n(CCC)c1=O,310
2435,CCCn1c(=O)c2nc(-c3cnn(-c4ccccc4)c3)[nH]c2n(CCC)c1=O,310
1506,CC1=C(C(=O)OC2CCC2)C(c2ccoc2)NC(=O)N1,307
2012,CCC(=O)Nc1nc(-c2ccccc2F)cc(-c2ccccc2F)n1,307
934,CCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCCCNC3CCCCC3)cc2)n(CCC)c1=O,306
782,CCCn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,305
472,CCCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,303
591,CCCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,303
1420,CC1=C(C(=O)OC(C)C(F)(F)F)C(c2ccco2)NC(=O)N1,303
1637,CCCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,303
2027,CC(C)Cn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(F)cc4)nn3C)[nH]c2n(CC(C)C)c1=O,303
2167,CC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1,302
2616,COc1cccc(CCCC(=O)Nc2nc3ccccc3c(=O)s2)c1,302
2832,Cc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,302
654,c1ccc(-c2cc(-c3ccccc3)c3nc(C4CCCC4)[nH]c3n2)cc1,300
1425,c1ccc(-c2cc(-c3ccccc3)c3nc(C4CCCCC4)[nH]c3n2)cc1,300
2078,CCC(CC)c1nc2c(-c3ccccc3)cc(-c3ccccc3)nc2[nH]1,300
2489,CC(C)Cn1c(=O)c2nc(-c3cnn(Cc4cccc(C(F)(F)F)c4)c3)[nH]c2n(CC(C)C)c1=O,300
2598,CC(C)Cc1nc2c(-c3ccccc3)cc(-c3ccccc3)nc2[nH]1,300
2599,CC(C)c1nc2c(-c3ccccc3)cc(-c3ccccc3)nc2[nH]1,300
1319,CCCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCCN3CCOCC3)cc2)n(CCCC)c1=O,298
1831,CCn1cc2c(nc(NC(=O)Nc3ccc(Br)cc3)n3nc(-c4ccco4)nc23)n1,296
2183,CCCn1c(=O)c2nc(C34CC5CC(C3)C(C5)C4)[nH]c2n(CCC)c1=O,296
2370,CCCn1c(=O)c2nc([C@]34CC[C@](C(=O)N(C)CC(=O)OC)(CC3)CC4)[nH]c2n(CCC)c1=O,296
3232,CCCn1c(=O)c2nc(C34CC5CC(CC3C5)C4)[nH]c2n(CCC)c1=O,296
172,O=C(CCc1ccccc1)NCc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1,291
2537,CN(C)c1ccc(-c2nc3c(=O)n(C)c(=O)n(C)c3[nH]2)cc1,289
1912,CCOC(=O)COc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,288.4
198,Cn1c(=O)c2[nH]c(-c3ccccc3)c(O)c2n(C)c1=O,288
784,Cn1cc2c(nc(NC(=O)Nc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1,286
773,Cc1ccccc1Cn1nnc2c(-c3ccco3)nc(N)nc21,282
2213,CCn1c(=O)c2c(nc(Cc3ccco3)n2C)n(Cc2ccccc2)c1=O,281.84
3011,CC1=C(C(=O)OC(C)C)C(c2cnsc2)n2c(nc3ccccc32)N1,278
105,CC1=C(C(=O)OC(C)C)C(c2ccoc2)n2ccnc2N1,276.9
432,CCSCCn1c(=O)c2[nH]c(Cc3cccs3)nc2n(Cc2ccco2)c1=O,275.42
3038,CCCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCCCn3ccnc3)cc2)n(CCCC)c1=O,275
2482,Nc1nc(-c2nccs2)c2nnn(Cc3ccccc3F)c2n1,271
307,Nc1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,270
338,C#CCn1c(=O)c2[nH]c(Cc3cccs3)nc2n(Cc2ccco2)c1=O,269.15
505,COc1cc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)O,269.15
386,CCCn1c(=O)c2nc(C34CC5CC(CC3C5)C4)[nH]c2n(CCC)c1=O,269
909,COCCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OCC(=O)NC4CCCC4)cc3)cc21,263.03
1875,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,262
1063,COc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,261
2589,COc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,261
2861,COc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,261
80,CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F,260
1427,Nc1nc(-c2ccco2)c2nnn(Cc3cccc(C(F)(F)F)c3)c2n1,259
308,Nc1nc(-c2ccco2)c2nnn(Cc3ccccn3)c2n1,258
3083,CCCC1=C(C(=O)OCC)C(c2ccco2)NC(=O)N1,256.1
3256,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,255.7
1093,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccc(C(F)(F)F)cc5)n4)cc3)[nH]c2n(CCC)c1=O,255
1683,Cc1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,254
2651,CCCn1c(-c2ccco2)nc2c(N)ncnc21,252
1038,CC(=O)Nc1nc2ccccc2n2nc(-c3ccco3)nc12,251.19
2100,O=C(Cc1ccccc1)Nc1nc2ccccc2n2nc(-c3ccco3)nc12,251.19
62,COc1cccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)c1,251
275,CCCn1c(=O)c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2n(CCC)c1=O,250
549,CCCn1c(=O)c2nc(-c3ccc(S(=O)(=O)[O-])cc3)[nH]c2n(CCC)c1=O.[K+],250
767,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccc(OC)cc5)n4)cc3)[nH]c2n(CCC)c1=O,250
1707,CCCn1c(=O)c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2n(CCC)c1=O,250
1960,Cl.Cn1cc2c(nc(NC(=O)Nc3ccncc3)n3nc(-c4ccco4)nc23)n1,250
2331,CCCn1c(-c2ccco2)nc2c(N)ncnc21,250
2343,CCCn1c(=O)c2[nH]c(-c3nn(CC(=O)Nc4ccc(Cl)cc4)c(C)c3Br)nc2n(CCC)c1=O,250
2448,CCCn1c(=O)c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2n(CCC)c1=O,250
2454,Cn1c(=O)c2nc(-c3ccc(S(=O)(=O)NCCO)cc3)[nH]c2n(C)c1=O,250
2969,Cl.Cn1cc2c(nc(NC(=O)Nc3ccncc3)n3nc(-c4ccco4)nc23)n1,250
489,Nc1nc(-c2cccs2)c2nnn(Cc3ccccc3F)c2n1,248
785,CCn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccco4)nc23)n1,246
418,CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,245
1925,CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,245
2729,CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,245
2069,CCCn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,241
996,CCCn1c(=O)c2nc(-c3cnn(Cc4cccc(F)c4F)c3)[nH]c2n(CCC)c1=O,240
3102,CC1=C(C(=O)CC(C)C)C(c2ccco2)NC(=O)N1,240
3108,CC(C)OC(=O)C1=C(C(F)(F)F)NC(=O)NC1c1ccco1,238
816,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)[O-])cc3)[nH]c2c1=O.[Na+],237
63,CCn1cc2c(nc(NC(=O)Nc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1,235
372,CCCn1c(=O)c2nc(-c3cc(N)nn3C)[nH]c2n(CCC)c1=O,235
159,CC1=C(C(=O)OC(C)C(F)(F)F)C(c2ccoc2)NC(=O)N1,234
1458,O=C(Nc1nc2cccc(Cl)c2[nH]1)c1ccccc1,230
3145,Cc1cc(C)cc(-c2nc(NC(=O)c3cccnc3)sc2-c2ccncc2)c1,230
1590,CCCn1c(=O)c2[nH]c(-c3ccccc3)cc2n(CCC)c1=O,229
2765,OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCOC4)ncnc32)[C@H](O)[C@@H]1O,227
302,O=C(Nc1cccc(Cl)c1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,226
593,Cn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccco4)nc23)n1,226
1051,CCn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,226
2407,Nc1nc(-c2ccco2)c2nnn(Cc3ccc(F)cc3F)c2n1,226
858,COc1cccc(CCC(=O)Nc2nc3ccccc3c(=O)s2)c1,225
1799,Nc1nc(-c2ccco2)c2nnn(Cc3cccnc3)c2n1,225
1787,COc1ccccc1NC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,223
20,CCCn1c(=O)c2[nH]c(-c3nn(CC(=O)Nc4ccc(Cl)cc4)c(C)c3Cl)nc2n(CCC)c1=O,222
473,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,222
957,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,222
1188,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,222
1356,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,222
1636,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,222
1785,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,222
741,N#Cc1c(-c2ccco2)cc(-c2ccccc2)nc1N,220
2865,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccc(F)cc5)n4)cc3)[nH]c2n(CCC)c1=O,220
2905,Nc1nc(-c2ccccc2)nc(-c2ccccc2O)n1,220
3276,CCNc1nc(-c2ccccc2)c(C#N)c(-c2ccc3c(c2)OCO3)n1,217
762,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccc(F)cc5)no4)cc3)[nH]c2n(CCC)c1=O,215
1040,CCCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCCCNC3CCCCC3)cc2)n(CCCC)c1=O,215
1660,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccc(F)cc5)no4)cc3)[nH]c2n(CCC)c1=O,215
1782,CCn1cc2c(nc(NC(=O)Nc3cccc(OC)c3)n3nc(-c4ccco4)nc23)n1,215
2789,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cncs1,215
1906,COc1cc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)Nc1ccc(C#N)cc1,213.8
2721,COCCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OCC(=O)O)cc3)cc21,213.8
1121,OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCOC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,211
2426,CS(=O)(=O)c1c(CCc2ccccc2)c2cc(OCC(=O)NCc3ccc(Cl)c(Cl)c3)ccc2[nH]c1=O,211
2831,CCCn1c(=O)c2[nH]c(-c3cc(OCC4CC(=O)N(c5ccc(F)cc5)C4)no3)nc2n(CCC)c1=O,210
625,O=C(Nc1ccc(-c2ccncc2)c(-c2ccncn2)n1)C1CC1,208
790,CCCn1c(=O)c2nc([C@]34CC[C@](C(=O)NCC(=O)OC)(CC3)CC4)[nH]c2n(CCC)c1=O,207
1459,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccc(C#N)cc5)n4)cc3)[nH]c2n(CCC)c1=O,207
2295,CC(C)Cn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(F)cc4)n(C)n3)[nH]c2n(CC(C)C)c1=O,207
1202,CCCOC(=O)C1=C(C)NC(=O)NC1c1ccco1,206.3
306,Nc1nc(-c2ccco2)c2nnn(Cc3ccc4[nH]ncc4c3)c2n1,206
3172,CCCOC(=O)C1=C(C)NC(=O)NC1c1ccco1,206
1585,Cn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,205
2450,Cn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,205
330,O=C(Nc1ccc(-c2ccncc2)c(-c2cc[nH]n2)n1)C1CC1,202
1434,CCC(C)OC(=O)C1=C(C)NC(=O)NC1c1ccoc1,201
3068,CCCOC(=O)C1=C(C)NC(=O)NC1c1ccsc1,201
485,CCCn1c(Br)nc2c(N)ncnc21,200
779,Cn1cc2c(nc(NC(=O)Nc3ccncc3)n3nc(-c4ccco4)nc23)n1,200
1127,CCCn1c(=O)c2nc(-c3cnn(Cc4ccc(Cl)c(C(F)(F)F)c4)c3)[nH]c2n(CCC)c1=O,200
2318,CCCn1c(Br)nc2c(N)ncnc21,200
2338,Cn1cc2c(nc(NC(=O)Nc3ccncc3)n3nc(-c4ccco4)nc23)n1,200
2743,CCCn1c(Br)nc2c(N)ncnc21,200
3036,CCCn1c(=O)c2[nH]c(-c3cnn(CC#CCN(CC)CC)c3)nc2n(CCC)c1=O,200
1955,CSCCn1c(=O)c2[nH]c(Cc3c(F)cccc3F)nc2n(Cc2ccco2)c1=O,199.53
2142,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(S(N)(=O)=O)cc4)cc3)cc2n(CCC)c1=O,199.53
499,CC1=C(C(=O)OCC(C)C)C(c2ccco2)NC(=O)N1,199
713,CC(C)Cn1c(=O)c2[nH]c(-c3cnn(Cc4cccc(C(F)(F)F)c4)c3)nc2n(C)c1=O,199
1768,CCCn1c(=O)c2[nH]c(-c3ccc(C)cc3)cc2n(CCC)c1=O,199
2408,Cc1cnc(-c2nc(N)nc3c2nnn3Cc2ccccc2F)s1,199
2665,O=C(O)/C=C/c1ccc(-c2nc3c(=O)n(CC4CCCCC4)c(=O)n(CC4CCCCC4)c3[nH]2)cc1,199
2291,CCn1cc2c(nc(NC(=O)Nc3ccccc3OC)n3nc(-c4ccco4)nc23)n1,196
759,CCCn1c(=O)c2nc(-c3cnn(Cc4cc(-c5ccccc5OC)on4)c3)[nH]c2n(CCC)c1=O,195
